epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.216,1.04911,1.18693,1.40106,0.73824,0.67608,0.7219,0.47628,0.74874,0.5979,1.1617,0.00332536,0.00332536,0.00332536
2,425.334,1.00433,0.77642,1.35238,0.71724,0.61858,0.67411,0.44446,0.78132,0.64557,1.18746,0.00659277,0.00659277,0.00659277
3,625.295,1.07081,0.86644,1.40145,0.50627,0.3744,0.38297,0.22429,1.29172,1.54742,1.59329,0.00979418,0.00979418,0.00979418
4,825.851,1.12673,0.95249,1.43879,0.70714,0.49042,0.55619,0.36054,0.95599,0.82671,1.30435,0.009703,0.009703,0.009703
5,1026.32,1.07426,0.87578,1.40145,0.71614,0.56653,0.61544,0.40398,0.85408,0.70416,1.24594,0.009604,0.009604,0.009604
6,1226.6,1.02905,0.80961,1.36519,0.71008,0.5687,0.62077,0.40644,0.82233,0.71468,1.19676,0.009505,0.009505,0.009505
7,1427.09,1.00467,0.76486,1.34478,0.72699,0.56911,0.64197,0.43298,0.81439,0.62881,1.19983,0.009406,0.009406,0.009406
8,1627.33,0.96741,0.72949,1.3206,0.76775,0.6449,0.69772,0.45936,0.7964,0.59203,1.19034,0.009307,0.009307,0.009307
9,1827.69,0.96023,0.70823,1.31338,0.73495,0.64736,0.70732,0.46584,0.78631,0.57613,1.18806,0.009208,0.009208,0.009208
10,2028.09,0.93269,0.67564,1.29582,0.72817,0.66536,0.68644,0.46578,0.75766,0.56673,1.16128,0.009109,0.009109,0.009109
11,2228.1,0.9194,0.65743,1.28529,0.74157,0.66101,0.69397,0.46788,0.73922,0.54698,1.1522,0.00901,0.00901,0.00901
12,2428.02,0.9116,0.63607,1.28189,0.75203,0.63097,0.69677,0.46881,0.76061,0.56425,1.15095,0.008911,0.008911,0.008911
13,2628.36,0.89483,0.62711,1.26852,0.78032,0.6667,0.73857,0.48928,0.75188,0.53229,1.15949,0.008812,0.008812,0.008812
